Timestamp,Vehicle Count,Avg Speed (km/h),Vehicle Types Detected,Vehicle Density (%),Traffic Congestion Level,Lane1,Lane2,Lane3,Lane4
1900-01-01 08:00:00,0.31333333333333335,0.3712374581939799,"10 Bikes, 90 Ambulance, 60 Fire Extinguisher",0.16666666666666663,1,0.0,0.0,1.0,0.0
1900-01-01 08:01:00,0.5066666666666667,0.9498327759197325,"32 Ambulance, 94 Ambulance",0.44999999999999996,2,0.0,0.0,1.0,1.0
1900-01-01 08:02:00,0.0733333333333333,0.7324414715719063,"99 Trucks, 76 Patrol, 65 Fire Extinguisher",0.8666666666666667,0,1.0,0.0,0.0,0.0
1900-01-01 08:03:00,0.7999999999999999,0.5986622073578596,"50 Cars, 71 Patrol, 63 Fire Extinguisher",0.75,0,0.0,0.0,0.0,0.0
1900-01-01 08:04:00,0.8666666666666668,0.15384615384615374,"17 Patrol, 93 Cars, 25 Bikes, 23 Vans",1.0,0,1.0,0.0,0.0,0.0
1900-01-01 08:05:00,0.7266666666666667,0.15384615384615374,"16 Cars, 34 Cars, 55 Ambulance",0.0,2,1.0,1.0,0.0,1.0
1900-01-01 08:06:00,0.8333333333333334,0.05351170568561869,"28 Fire Extinguisher, 57 Cars, 88 Ambulance, 15 Ambulance",0.9833333333333334,0,0.0,0.0,1.0,0.0
1900-01-01 08:07:00,0.6333333333333333,0.866220735785953,"97 Vans, 69 Cars, 30 Trucks, 90 Vans",0.7166666666666666,0,1.0,0.0,0.0,1.0
1900-01-01 08:08:00,0.19333333333333336,0.5986622073578596,"91 Trucks, 13 Ambulance, 88 Ambulance",0.21666666666666667,1,0.0,1.0,1.0,1.0
1900-01-01 08:09:00,0.2866666666666666,0.705685618729097,"38 Trucks, 62 Vans, 79 Ambulance",0.4833333333333333,2,0.0,1.0,0.0,1.0
1900-01-01 08:10:00,0.6333333333333333,0.01672240802675584,"78 Fire Extinguisher, 22 Vans",0.21666666666666667,2,1.0,0.0,0.0,1.0
1900-01-01 08:11:00,0.7533333333333333,0.9698996655518395,"82 Vans, 27 Bikes, 91 Fire Extinguisher, 83 Vans",0.016666666666666607,2,1.0,0.0,1.0,0.0
1900-01-01 08:12:00,0.08000000000000002,0.8327759197324414,"49 Patrol, 97 Fire Extinguisher",0.2833333333333333,1,1.0,0.0,1.0,0.0
